Playlist, Tittle, YouTube_Vidoe_ID, google_doc_link
JYOTISHA(Kannada)-2022,37: ASHTAKUTA CALCULATION(Part-1),SrPz8pfe7-o, https://drive.google.com/file/d/1kOB7SCQJALpSHcGgsmtRl5jMczx2A5pu/view
JYOTISHA(Kannada)-2022,38: ASHTAKUTA CALCULATION(Part-2),atUAcqZ8Yj0, none
JYOTISHA(Kannada)-2022,39: ASHTAKUTA-PRACTICE,kYt0VtrD9Bc, https://drive.google.com/file/d/1kOB7SCQJALpSHcGgsmtRl5jMczx2A5pu/view
JYOTISHA(Kannada)-2022,40: KUJA DOSHA,8Wwmn5GtlT0, none
JYOTISHA(Kannada)-2022,41: SARPHA DOSHA & PITRU DOSHA,qJdelL2GGAA, none
JYOTISHA(Kannada)-2022,42: KALA-SARPHA DOSHA & MANGALYA DOSHA,URuAjn1oeO4, none
JYOTISHA(Kannada)-2022,43: MARRIAGE MATCHING(Practice-01),6LbvGFsoVD4, none
JYOTISHA(Kannada)-2022,44: MARRIAGE MATCHING(Practice-02),zavOD-KjdxU, none
JYOTISHA(Kannada)-2022,45: MARITAL ISSUES & REMIDIES,DzTzofBtskU, none
JYOTISHA(Kannada)-2022,46: MARITAL QUESTIONS & ANSWERS,pxtw-DlPJAM, none
JYOTISHA(Kannada)-2022,47: LOVE & INTER-CAST MARRIAGES(Part-1),ZcXHKJC03j0, none
JYOTISHA(Kannada)-2022,48: LOVE & INTER-CAST MARRIAGES(Part-2),AwTjzMFxCSs, none
JYOTISHA(Kannada)-2022,49: Extra-Marital Affairs.,M_74UuI2b-I, none
JYOTISHA(Kannada)-2022,50: Santhaana Vichaara-Introduction,30Em37rIzWE, none
JYOTISHA(Kannada)-2022,51: How to analyze Santhana Sthaana...?,pnCs9IkzBeA, none
JYOTISHA(Kannada)-2022,52: Second issue & General Remedies,Q9M0HLDLZq4, none
JYOTISHA(Kannada)-2022,53: BOY/BABY- C SECTION(Blarista-Nakshatra Dosha)-Mis-CARRIAGES,n5PUgJ-V6mc, none
JYOTISHA(Kannada)-2022,54: Dasha System(ದಶೆಗಳು),vRcoEKxrOKg, none
JYOTISHA(Kannada)-2022,55: Analysing Vimshothari Dasha,6JsQ68V6jVY, none
JYOTISHA(Kannada)-2022,56: Vimshothari Dasha - Practise,oGMkbwhWg5M, none
JYOTISHA(Kannada)-2022,57: Gochara (Planetery Transit) - Introduction,ZBjaoiZ_Bzg, https://drive.google.com/file/d/1MH3MJ51Lbz-Jfg43wrtZ_KpK5P3_fPlg/view
JYOTISHA(Kannada)-2022,58: Gochara Phala-Veda-Vipareeta Veda,97l5hLR5QIU, https://drive.google.com/file/d/1WV-8wwOJsAFKOokRq9fA_Ha-lYOFwfwa/view
JYOTISHA(Kannada)-2022,59: Gochara Phala(GuruBhala; 7 1/2 Shani; Ashtama Shani; Ardhastama Shani...etc),RZC1h-n1Wec, none
JYOTISHA(Kannada)-2022,60: Gochara  Phala through Jaganatha Hora Software,I_7_lv8E91o, none
JYOTISHA(Kannada)-2022,61: MUHURTHA-BASICS,_odQFWBLPJw, none
JYOTISHA(Kannada)-2022,62: Muhurtha(Panchanga Shudhi),O6UyuRrFVgs, none
